Key,english
goDifficultyRE,[FF4F00]Difficulty (Read me)[-]
goDifficultyREDesc,C - You deal 100% Damage and take 100% damage.\n\nB - You deal 80% Damage and take 150% damage.\n\nA - You deal 67% Damage and take 200% damage.\n\nS - You deal 50% Damage and take 250% damage.\n\nX - You deal 40% Damage and take 350% damage.\n[FF4F00](DO NOT try this on your first completion)[-]
goDifficulty1RE,C
goDifficulty2RE,B
goDifficulty3RE,A
goDifficulty4RE,S
goDifficulty5RE,X
goDifficulty6RE,Z
goDayLengthRE,[FF4F00]Select 150[-]
goDayLightLengthRE,[FF4F00]Select 0[-]
goBloodMoonFrequencyRE,[FF4F00]Select 0[-]
goXPMultiplierRE,[FF4F00]Select 100[-]
goBlockDamagePlayerRE,[FF4F00]Select 100[-]
goBlockDamageAIRE,[FF4F00]Select 100[-]
goLootAbundanceRE,[FF4F00]Select 100[-]
goLootRespawnDaysRE,[FF4F00]Select 1[-]
goZombieMoveNight,[FF4F00]Zombie Night Speed\n(Always Night)[-]
tutorialTipQuest01_title,Welcome To The Spencer Mansion Challenge
loadingTipRE1,You're trapped inside Spencer Mansion. Healing supplies and ammunition are in short supply. Can you escape with your life? Or become a Jill Sandwich?
loadingTipRE1_title,Welcome to Resident Evil!
loadingTipRE2,"There is no Item Quality, no Equipment Degradation or Random Stats. Everything is preset to be the same.\nLoot RNG is kept to a minimum for a fair challenge between different playthroughs."
loadingTipRE2_title,"Item Quality, Repairs, Random Stats and Looting:"
loadingTipRE3,Just like in Resident Evil your inventory will be limited (12 slots). You'll have to pick and choose what you take with you.
loadingTipRE3_title,Inventory:
loadingTipRE4,Doors are your main defence to help separate zombies for easier fighting. Closing doors will stop zombies from sneaking up behind you.
loadingTipRE4_title,Doors:
loadingTipRE5,"Gather bones and leather along the way, you'll be needing them later when building the Gyrocopter."
loadingTipRE5_title,Bones and Leather:
loadingTipRE6,"Zombies don't feel pain, just like in Resident Evil, so they won't even flinch when attacked."
loadingTipRE6_title,Zombies Feel No Pain:
loadingTipRE7,"A huge thank you to the following people: AuroraGiggleFairy, wOOkie nOOkie, RambunctiousRed, HellsJanitorTV, JaxTeller718, KhaineGB, Khelldon, Chikorina, HaidrGna, AvioseVeAvara, Subquake."
loadingTipRE7_title,Special Thanks!
tutorialTipQuest01,"You're about to experience the Spencer Mansion Incident in a first person perspective.\n\nIn this challenge, it will always be night, so it is recommended you set the zombie speed for night to your preference.\n\nTo keep the challenge true to Resident Evil, please note the following.\n1) You have limited inventory space of 12 slots. There are Item Storage Boxes to store your items.\n2) You cannot jump.\n3) Most enemies don't feel pain, so fighting them will be different to what you're used to.\n\nFor an immersive experience, I'd recommend setting your music to play all the time.\n\nFor the intended experience, be sure to remove any non-related modlets and your orange game settings are correct."
buffNewbieCoatNameRE,Infinite food and water
buffNewbieCoatDescRE,"While you have this buff, your food and water will remain full.\n\nOnce you reach level 10, your food and water will drain at 60% of the standard rate."
xuiInventory,Jill Valentine's Inventory
cntCashRegister,Typewriter
cntHardenedChestInsecureT5,Item Storage Box
TheVault,The Vault
Reloading_Tool,Reloading Tool
Reloading_Tooldesc,"A useful tool that you can make ammunition with.\n\nMake sure your have enough empty inventory slots when crafting."
DeathMaskDesc,This Death Mask is used on the Door of Evil.\n\nUse with the secondary action.
MansionBattery,This will power the door in the courtyard.
GreenHerbDesc,Heals you slightly.\n\nPhysician 0 heals 8.\nPhysician 1 heals 10.\nPhysician 2 heals 12.\nPhysician 3 heals 14.
RedHerbdesc,Amplifies the effect of Green Herbs.\n\nCan't be used on its own.
GreenHerbCreamDesc,Heals you moderately.\n\nPhysician 0 heals 20.\nPhysician 1 heals 25.\nPhysician 2 heals 30.\nPhysician 3 heals 35.
Green+RedHerbCreamDesc,Heals you substantially.\n\nPhysician 0 heals 32.\nPhysician 1 heals 40.\nPhysician 2 heals 48.\nPhysician 3 heals 56.
BlueHerbDesc,Cures Poison
Green+BlueHerbCreamDesc,Heals you slightly and cures poison.\n\nPhysician 0 heals 12.\nPhysician 1 heals 15.\nPhysician 2 heals 18.\nPhysician 3 heals 21.
Green2+BlueHerbCreamDesc,Heals you moderately and cures poison.\n\nPhysician 0 heals 24.\nPhysician 1 heals 30.\nPhysician 2 heals 36.\nPhysician 3 heals 42.
Green+Red+BlueHerbCreamDesc,"Heals you substantially and cures poison.\n\nPhysician 0 heals 36.\nPhysician 1 heals 45.\nPhysician 2 heals 54.\nPhysician 3 heals 63."""
FirstAidSprayDesc,Heals you Completely.\n\nPhysician 0 heals 120.\nPhysician 1 heals 150.\nPhysician 2 heals 180.\nPhysician 3 heals 210.
PowerSource,This is used the power the elevator door near the basement kitchen.\n\nInstall using the Key Upgrade Tool.
WolfBook,A blue coloured book about a Wolf.
WolfMedal,A medal of a Wolf.\n\nUse with the secondary action.
EagleBook,A red coloured book about an Eagle.
EagleMedal,A medal of an Eagle.\n\nUse with the secondary action.
Book of Curses,Book of Curses
BookOfCursesdesc,A creepy looking book you found on the ground on the 3rd floor.
Dog Whistle,Dog Whistle
DogWhistledesc,A whistle used to get the attention of dogs.
Dog Collar,Dog Collar
DogCollardesc,Does this collar have some importance?
Coin,Coin




Coindesc,A coin that was found inside a dog's collar.
Lighterdesc,You will need this on you to light molotovs.
EmptyBottledesc,A container used to mix chemicals.\n\nFill using the secondary action.
FilledBottledesc,A bottle filled with liquid
MixingBottledesc,Two types of liquid mixing together.
VJoltdesc,A powerful chemical that can weaken Plant 42.
Crestdesc,A hexagonal shaped crest.\n\nUse with the secondary action.
BrokenShotgundesc,A shotgun that is damaged beyond repair.
Herbicidedesc,A chemical used to kill plant life.
MetalObjectdesc,An octagonal object that will unlock the door to the courtyard.\n\nUse with the secondary action.
StoneRingdesc,A ring made of stone with an octagonal shape
MetalObject2desc,An octagonal object made out of metal.
StoneMetalObjectdesc,This will unlock the door behind the stairs of the main hall in the mansion.\n\nUse with the secondary action.
Cylinderdesc,Looks like something belongs inside the hole.
Shaftdesc,Looks like a ring of some sort is missing.
CylinderShaftdesc,This will power the generator in the mine.\n\nUse with the secondary action.
FuelSupplyEmptydesc,An empty capsule designed to fuel a power source.\n\nFill it with something ice cold.
FuelSupplydesc,Use this to refuel the roller shutter.
JewelryBoxdesc,"It's unlocked now, what's inside?"
RedGemstonedesc,This small rock would be worth a fortune...
LockedBoxdesc,Securely locked
PrisonKey,A floppy disk with the word 'MO' on it.\n\nInsert using the secondary action.
Spencer Mansion Battery,Spencer Mansion Battery
Key Upgrade Tool,Key Upgrade Tool
Spencer Mansion Elevator Powersource,Spencer Mansion Elevator Powersource
REkeys,Use by holding the [Interact] button while looking at a door and selecting [picklock].
Jill's_LockPick,Jill's LockPick
Sword Key,Sword Key
Armour Key,Armour Key
Shield Key,Shield Key
Helmet Key,Helmet Key
Emblem Key,Emblem Key
Wolf Book,Wolf Book
Wolf_Medal,Wolf Medal
Eagle Book,Eagle Book
Eagle_Medal,Eagle Medal
Death Mask Without Eyes,Death Mask Without Eyes
Death Mask Without Mouth,Death Mask Without Mouth
Death Mask Without Nose,Death Mask Without Nose
Death Mask Without All Three,Death Mask Without All Three
