Key,french
goDifficultyRE,[FF4F00]Difficulté (Lisez-moi)[-]
goDifficultyREDesc,"C - Vous infligez 100 % de dégâts et subissez 100 % de dégâts.\n\nB - Vous infligez 80 % de dégâts et subissez 150 % de dégâts.\n\nA - Vous infligez 67 % de dégâts et subissez 200 % de dégâts.\n\nS - Vous infligez 50 % de dégâts et subissez 250 % de dégâts.\n\nX - Vous infligez 40 % de dégâts et subissez 350 % de dégâts.\n[FF4F00](NE PAS essayer lors de votre première réalisation)[-]\n\nZ - Vous infligez 80 % de dégâts et subissez 700 % de dégâts.\n[FF4F00](NE PAS essayer lors de votre première réalisation)[-]"
goDifficulty1RE,C
goDifficulty2RE,B
goDifficulty3RE,A
goDifficulty4RE,S
goDifficulty5RE,X
goDifficulty6RE,Z
goDayLengthRE,[FF4F00]Sélectionner 150[-]
goDayLightLengthRE,[FF4F00]Sélectionner 0[-]
goBloodMoonFrequencyRE,[FF4F00]Sélectionner 0[-]
goXPMultiplierRE,[FF4F00]Sélectionner 100[-]
goBlockDamagePlayerRE,[FF4F00]Select 100[-]
goBlockDamageAIRE,[FF4F00]Sélectionner 100[-]
goLootAbundanceRE,[FF4F00]Sélectionner 100[-]
goLootRespawnDaysRE,[FF4F00]Sélectionner 1[-]
goZombieMoveNight,[FF4F00]Vitesse nocturne des zombies\n(Toujours la nuit)[-]
tutorialTipQuest01_title,Bienvenue au défi du manoir Spencer
loadingTipRE1,Vous êtes piégé à l'intérieur de Spencer Mansion. Les fournitures de guérison et les munitions sont rares. Pouvez-vous échapper à votre vie? Ou devenir une Jill Sandwich ?
loadingTipRE1_title,Bienvenue dans Resident Evil !
loadingTipRE2,"Il n'y a pas de qualité d'objet, pas de dégradation d'équipement ou de statistiques aléatoires. Tout est prédéfini pour être identique.\nLoot RNG est réduit au minimum pour un défi équitable entre les différentes parties."
loadingTipRE2_title,"Qualité des objets, réparations, statistiques aléatoires et butin:"
loadingTipRE3,Tout comme dans Resident Evil votre inventaire sera limité (12 slots). Vous devrez choisir ce que vous emportez avec vous.
loadingTipRE3_title,Inventaire:
loadingTipRE4,Les portes sont votre principal moyen de défense pour vous aider à séparer les zombies afin de faciliter les combats. Fermer les portes empêchera les zombies de se faufiler derrière vous.
loadingTipRE4_title,Des portes:
loadingTipRE5,"Rassemblez des os et du cuir en cours de route, vous en aurez besoin plus tard lors de la construction du gyrocoptère."
loadingTipRE5_title,Os et cuir:
loadingTipRE6,"Les zombies ne ressentent pas la douleur, tout comme dans Resident Evil, donc ils ne broncheront même pas lorsqu'ils sont attaqués."
loadingTipRE6_title,Les zombies ne ressentent aucune douleur:
loadingTipRE7,"Un immense merci aux personnes suivantes: Mythix, AuroraGiggleFairy, w00kie n00kie, RambunctiousRed, HellsJanitorTV, JaxTeller718, KhaineGB, Khelldon, Chikorina, HaidrGna, AvioseVeAvara, Subquake."
loadingTipRE7_title,Remerciement spécial!
tutorialTipQuest01,"Vous êtes sur le point de vivre l'incident du manoir Spencer dans une perspective à la première personne.\n\n[FF4F00]Dans ce défi, il fera toujours nuit, il est donc recommandé de régler la vitesse du zombie pour la nuit selon vos préférences.[-]\n\nPour que le défi reste fidèle à Resident Evil, veuillez noter ce qui suit.\n1) Votre espace d'inventaire est limité à 12 emplacements. Il existe des boîtes de stockage d'objets pour stocker vos objets.\n2) Vous ne pouvez pas sauter.\n3) La plupart des ennemis ne ressentent pas la douleur, donc les combattre sera différent de ce à quoi vous êtes habitué.\n\nPour une expérience immersive, Je vous recommande de configurer votre musique pour qu'elle soit lue en permanence.\n\nPour l'expérience souhaitée, assurez-vous de supprimer tous les modlets non liés et que vos paramètres de jeu orange sont corrects."
buffNewbieCoatNameRE,Nourriture et eau infinies
buffNewbieCoatDescRE,"Tant que vous avez ce buff, votre nourriture et votre eau resteront pleines.\n\nUne fois que vous aurez atteint le niveau 10, votre nourriture et votre eau s'épuiseront à 60 % du taux standard."
xuiInventory,Inventaire de Jill Valentine
cntCashRegister,Machine à écrire
TheVault,The Vault
Reloading_Tool,Outil de rechargement
Reloading_Tooldesc,"Un outil utile avec lequel vous pouvez fabriquer des munitions.\n\nAssurez-vous d'avoir suffisamment d'emplacements d'inventaire vides lors de la fabrication."
DeathMaskDesc,Ce Masque Mortuaire est utilisé sur la Porte du Mal.\n\nÀ utiliser avec l'action secondaire.
MansionBattery,"Cela alimentera la porte dans la cour."
GreenHerbDesc,"Vous soigne légèrement.\n\nMédecin 0 soigne 8.\nMédecin 1 soigne 10.\nMédecin 2 soigne 12.\nMédecin 3 soigne 14."
RedHerbdesc,"Amplifie l'effet des herbes vertes.\n\nNe peut pas être utilisé seul."
GreenHerbCreamDesc,"Vous soigne modérément.\n\nLe médecin 0 en soigne 20.\nLe médecin 1 en soigne 25.\nLe médecin 2 en soigne 30.\nLe médecin 3 en soigne 35."
Green+RedHerbCreamDesc,"Vous soigne considérablement.\n\nLe médecin 0 en soigne 36.\nLe médecin 1 en soigne 45.\nLe médecin 2 en soigne 54.\nLe médecin 3 en soigne 63."
BlueHerbDesc,"Guérit du poison"
Green+BlueHerbCreamDesc,"Vous soigne légèrement et guérit le poison.\n\nMédecin 0 soigne 12.\nMédecin 1 soigne 15.\nMédecin 2 soigne 18.\nMédecin 3 soigne 21."
Green2+BlueHerbCreamDesc,"Vous soigne modérément et guérit le poison.\n\nLe médecin 0 en soigne 24.\nLe médecin 1 en soigne 30.\nLe médecin 2 en soigne 36.\nLe médecin 3 en soigne 42."
Green+Red+BlueHerbCreamDesc,"Vous soigne considérablement et guérit le poison.\n\nLe médecin 0 en soigne 40.\nLe médecin 1 en soigne 50.\nLe médecin 2 en soigne 60.\nLe médecin 3 en soigne 70."
FirstAidSprayDesc,"Vous soigne complètement.\n\nLe médecin 0 en soigne 120.\nLe médecin 1 en soigne 150.\nLe médecin 2 en soigne 180.\nLe médecin 3 en soigne 210."
WolfBook,Un livre de couleur bleue sur un loup.
WolfMedal,Une médaille de loup.\n\nÀ utiliser avec l'action secondaire.
EagleBook,Un livre de couleur rouge sur un aigle.
EagleMedal,Une médaille d'aigle.\n\nÀ utiliser avec l'action secondaire.
Book of Curses,Livre des malédictions
BookOfCursesdesc,Un livre effrayant que vous avez trouvé par terre au 3ème étage.
Dog Whistle,Chien Sifflet
DogWhistledesc,Un sifflet utilisé pour attirer l'attention des chiens.
Dog Collar,Collier de chien
DogCollardesc,Est-ce que ce collier a une certaine importance?
Coin,Pièce de monnaie




Coindesc,Une pièce trouvée dans le collier d'un chien.
Lighterdesc,Vous en aurez besoin sur vous pour allumer des molotovs.
EmptyBottledesc,Un récipient utilisé pour mélanger des produits chimiques.\n\nRemplir en utilisant l'action secondaire.
FilledBottledesc,Une bouteille remplie de liquide
MixingBottledesc,Deux types de liquide se mélangeant.
VJoltdesc,Un produit chimique puissant qui peut affaiblir la plante 42.
Crestdesc,Une crête de forme hexagonale.\n\nÀ utiliser avec l'action secondaire.
BrokenShotgundesc,Un fusil de chasse endommagé de façon irréparable.\n\nUtiliser avec l'action secondaire.
Herbicidedesc,Un produit chimique utilisé pour tuer la vie végétale.
MetalObjectdesc,Un objet octogonal qui déverrouillera la porte de la cour.\n\nÀ utiliser avec l'action secondaire.
StoneRingdesc,Une bague en pierre de forme octogonale
MetalObject2desc,Un objet octogonal en métal.
StoneMetalObjectdesc,Cela déverrouillera la porte derrière les escaliers du hall principal du manoir.\n\nÀ utiliser avec l'action secondaire.
Cylinderdesc,On dirait que quelque chose appartient à l'intérieur du trou.
Shaftdesc,On dirait qu'il manque une sorte de bague.
CylinderShaftdesc,Cela alimentera le générateur dans la mine.\n\nÀ utiliser avec l'action secondaire.
FuelSupplyEmptydesc,Une capsule vide conçue pour alimenter une source d'alimentation.\n\nRemplissez-la avec quelque chose de glacé.
FuelSupplydesc,Profitez-en pour ravitailler le volet roulant.
JewelryBoxdesc,"C'est déverrouillé maintenant, ce qu'il y a à l'intérieur?"
RedGemstonedesc,Ce petit rocher vaudrait une fortune...
LockedBoxdesc,Bien verrouillé
PrisonKey,Une disquette avec le mot 'MO' dessus.\n\nInsérez en utilisant l'action secondaire.
REkeys,À utiliser en maintenant le bouton [Interagir] enfoncé tout en regardant une porte et en sélectionnant [crochet].
Jill's_LockPick,LockPick de Jill
Sword Key,Clé d'épée
Armour Key,Clé d'armure
Shield Key,Clé de bouclier
Helmet Key,Clé de casque
Emblem Key,Clé de l'emblème
Wolf Book,Livre de loup
Wolf_Medal,Médaille Loup
Eagle Book,Livre d'aigle
Eagle_Medal,Médaille Aigle
Death Mask Without Eyes,Masque mortuaire sans yeux
Death Mask Without Mouth,Masque mortuaire sans bouche
Death Mask Without Nose,Masque mortuaire sans nez
Death Mask Without All Three,Masque de mort sans les trois
Laboratory Key,Clé pour la zone de puissance
Prison Key,Disque MO
Empty_Bottle,Bouteille vide
Empty Water Bottle,Bouteille d'eau vide
Empty UMB-No3 Bottle,Bouteille UMB-No3 vide
Empty Yellow-6 Bottle,Bouteille Yellow-6 vide
Water_(Filled),Eau (Remplie)
UMB-No3_(Filled),UMB-No3 (Remplie)
Yellow-6_(Filled),Yellow-6 (Remplie)
NP-004_(Filled),NP-004 (Remplie)
UMB-No7_(Filled),UMB-No7 (Remplie)
UMB-No10_(Filled),UMB-No10 (Remplie)
VP-017_(Filled),VP-017 (Remplie)
NP-004_(Mixing),NP-004 (Mélange)
UMB-No7_(Mixing),UMB-No7 (Mélange)
UMB-No10_(Mixing),UMB-No10 (Mélange)
VP-014_(Mixing),VP-017 (Mélange)
V-Jolt,V-Jolt
Wind Crest,Crête du vent
Moon Crest,Crête de lune
Star Crest,Crête d'étoile
Sun Crest,Crête du soleil
Broken Shotgun,Fusil de chasse cassé
Herbicide,Herbicide
Metal_Object,Objet en métal
Stone_Ring,Anneau de pierre
Metal_Object2,Objet en métal
Stone and Metal Object,Objet en pierre et métal
WD-40 Spray,Aérosol WD-40
Unprinted Book,Livre non imprimé
Battery,Batterie
Spraydesc,Un liquide lubrifiant utilisé pour desserrer les joints d'objets métalliques.
Cylinder,Cylindre
Shaft,Arbre
Cylinder Shaft,Arbre de cylindre
Fuel Supply Capsule (Empty),Capsule d'alimentation en carburant (Vide)
