Key,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
goDifficultyRE,"[FF4F00]Schwierigkeit (Lies mich)[-]"
goDifficultyREDesc,"C – Sie verursachen 100 % Schaden und nehmen 100 % Schaden.\n\nB – Sie verursachen 80 % Schaden und nehmen 150 % Schaden.\n\nA – Sie verursachen 67 % Schaden und nehmen 200 % Schaden.\n\nS – Sie verursachen 50 % Schaden und nehmen 250 % Schaden.\n\nX – Sie verursachen 40 % Schaden und nehmen 350 % Schaden.\n[FF4F00](Versuchen Sie dies NICHT bei Ihrem ersten Abschluss)"
goDifficulty1RE,"C"
goDifficulty2RE,"B"
goDifficulty3RE,"A"
goDifficulty4RE,"S"
goDifficulty5RE,"X"
goDifficulty6RE,"Z"
goDayLengthRE,[FF4F00]Wählen Sie 150[-],
goDayLightLengthRE,[FF4F00]Wählen Sie 0[-],
goBloodMoonFrequencyRE,[FF4F00]Wählen Sie 0[-],
goXPMultiplierRE,[FF4F00]Wählen Sie 100[-],
goBlockDamagePlayerRE,[FF4F00]Wählen Sie 100[-],
goBlockDamageAIRE,[FF4F00]Wählen Sie 100[-],
goLootAbundanceRE,[FF4F00]Wählen Sie 100[-],
goLootRespawnDaysRE,[FF4F00]Wählen Sie 1[-],
goZombieMoveNight,[FF4F00]Nacht-Zombiegeschwindigkeit\n(Immer Nacht)[-],[FF4F00]Velocidad noche zombi[-],[FF4F00]Vitesse des zombies la nuit[-],[FF4F00]Velocità degli zombie di notte[-],[FF4F00]夜間のゾンビ移動速度[-],[FF4F00]좀비 밤 속도[-],[FF4F00]Szybkość zombie w nocy[-],[FF4F00]Velocidade dos zumbis à noite[-],[FF4F00]Ночная скорость зомби[-],[FF4F00]Zombi Gece Hızı[-],[FF4F00]丧尸夜间速度[-],[FF4F00]殭屍夜速度[-],[FF4F00]Velocidad noche zombi[-]
tutorialTipQuest01_title,Willkommen bei der Spencer Mansion-Challenge
loadingTipRE1,"Du bist in Spencer Mansion gefangen. Heilmaterial und Munition sind Mangelware. Kannst du mit deinem Leben entkommen? Oder Jill Sandwich werden?"
loadingTipRE1_title,"Willkommen bei Resident Evil!"
loadingTipRE2,"Es gibt keine Gegenstandsqualität, keine Ausrüstungsverschlechterung oder zufällige Statistiken. Alles ist so voreingestellt, dass es gleich ist.\nLoot RNG wird auf ein Minimum reduziert, um eine faire Herausforderung zwischen verschiedenen Durchspielen zu gewährleisten."
loadingTipRE2_title,"Gegenstandsqualität, Reparaturen, zufällige Statistiken und Plünderung:"
loadingTipRE3,"Genau wie in Resident Evil ist Ihr Inventar begrenzt (12 Slots). Sie müssen auswählen, was Sie mitnehmen."
loadingTipRE3_title,"Inventar:"
