Key,italian
goDifficultyRE,[FF4F00]Difficoltà (Leggimi)[-]
goDifficultyREDesc,"C - Infliggi il 100% dei danni e subisci il 100% dei danni.\n\nB - Infliggi l'80% dei danni e subisci il 150% dei danni.\n\nA - Infliggi il 67% dei danni e subisci il 200% dei danni.\n\nS - Infliggi il 50% di danno e subisci il 250% di danno.\n\nX - Infliggi il 40% di danno e subisci il 350% di danno.\n[FF4F00](NON provarlo al primo completamento)[-]\n\nZ - Infliggi il 80% di danno e subisci il 700% di danno.\n[FF4F00](NON provarlo al primo completamento)[-]"
goDifficulty1RE,C
goDifficulty2RE,B
goDifficulty3RE,A
goDifficulty4RE,S
goDifficulty5RE,X
goDifficulty6RE,Z
goDayLengthRE,[FF4F00]Selezionare 150[-]
goDayLightLengthRE,[FF4F00]Selezionare 0[-]
goBloodMoonFrequencyRE,[FF4F00]Selezionare 0[-]
goXPMultiplierRE,[FF4F00]Selezionare 100[-]
goBlockDamagePlayerRE,[FF4F00]Selezionare 100[-]
goBlockDamageAIRE,[FF4F00]Selezionare 100[-]
goLootAbundanceRE,[FF4F00]Selezionare 100[-]
goLootRespawnDaysRE,[FF4F00]Selezionare 1[-]
goZombieMoveNight,[FF4F00]Velocità notturna zombi\n(Sempre notte)[-]
tutorialTipQuest01_title,Benvenuti alla sfida di Spencer Mansion
loadingTipRE1,Sei intrappolato all'interno di Spencer Mansion. Le forniture per la cura e le munizioni scarseggiano. Puoi scappare con la tua vita? O diventare un Jill Sandwich?
loadingTipRE1_title,Benvenuto in Resident Evil!
loadingTipRE2,"Non c'è qualità dell'oggetto, nessuna degradazione dell'equipaggiamento o statistiche casuali. Tutto è preimpostato per essere lo stesso.\nL'RNG del bottino è ridotto al minimo per una sfida leale tra diverse partite."
loadingTipRE2_title,"Qualità dell'oggetto, riparazioni, statistiche casuali e saccheggio:"
loadingTipRE3,Proprio come in Resident Evil, il tuo inventario sarà limitato (12 slot). Dovrai scegliere e scegliere cosa portare con te.
loadingTipRE3_title,Inventario:
loadingTipRE4,Le porte sono la tua difesa principale per aiutare a separare gli zombi per combattere più facilmente. La chiusura delle porte impedirà agli zombi di intrufolarsi dietro di te.
loadingTipRE4_title,Porte:
loadingTipRE5,"Raccogli ossa e pelle lungo il percorso, ti serviranno più tardi durante la costruzione del girocottero."
loadingTipRE5_title,Ossa e pelle:
loadingTipRE6,"Gli zombi non provano dolore, proprio come in Resident Evil, quindi sussultano solo quando vengono attaccati."
loadingTipRE6_title,Gli zombi non provano dolore:
loadingTipRE7,"Un enorme grazie alle seguenti persone: Mythix, AuroraGiggleFairy, RambunctiousRed, HellsJanitorTV, JaxTeller718, KhaineGB, Khelldon, Chikorina, HaidrGna, AvioseVeAvara, Subquake."
loadingTipRE7_title,Ringraziamenti speciali!
tutorialTipQuest01,"Stai per vivere l'incidente di Spencer Mansion in prima persona.\n\nIn questa sfida, sarà sempre notte, quindi ti consigliamo di impostare la velocità degli zombi per la notte in base alle tue preferenze.\n\nPer mantenere sfida fedele a Resident Evil, tieni presente quanto segue.\n1) Hai uno spazio di inventario limitato a 12 slot. Ci sono Scatole per conservare gli oggetti.\n2) Non puoi saltare.\n3) La maggior parte dei nemici non prova dolore, quindi combatterli sarà diverso da quello a cui sei abituato.\n\nPer un'esperienza coinvolgente, Ti consiglio di impostare la tua musica in modo che venga riprodotta sempre.\n\nPer l'esperienza prevista, assicurati di rimuovere tutti i moduli non correlati e le impostazioni di gioco arancione sono corrette."
buffNewbieCoatNameRE,Cibo e acqua infiniti
buffNewbieCoatDescRE,"Finché hai questo buff, il cibo e l'acqua rimarranno pieni.\n\nUna volta raggiunto il livello 10, il cibo e l'acqua verranno scaricati al 60% della tariffa standard."
xuiInventory,Inventario di Jill Valentine
cntCashRegister,Macchina da scrivere
TheVault,The Vault
Reloading_Tool,Strumento di ricarica
Reloading_Tooldesc,Uno strumento utile con cui puoi creare munizioni.
DeathMaskDesc,Questa maschera mortuaria è usata sulla Porta del Male.\n\nUsa con l'azione secondaria.
MansionBattery,Questo alimenterà la porta nel cortile.
GreenHerbDesc,Ti cura leggermente.\n\nIl medico 0 guarisce 8.\nIl medico 1 guarisce 10.\nIl medico 2 guarisce 12.\nIl medico 3 guarisce 14.
RedHerbdesc,Amplifica l'effetto delle erbe verdi.\n\nNon può essere utilizzato da solo.
GreenHerbCreamDesc,Ti cura moderatamente.\n\nIl medico 0 guarisce 20.\nIl medico 1 guarisce 25.\nIl medico 2 guarisce 30.\nIl medico 3 guarisce 35.
Green+RedHerbCreamDesc,Ti cura sostanzialmente.\n\nIl medico 0 guarisce 32.\nIl medico 1 guarisce 40.\nIl medico 2 guarisce 48.\nIl medico 3 guarisce 56.
BlueHerbDesc,Cura il veleno
Green+BlueHerbCreamDesc,Ti cura leggermente e cura il veleno.\n\nIl medico 0 guarisce 12.\nIl medico 1 guarisce 15.\nIl medico 2 guarisce 18.\nIl medico 3 guarisce 21.
Green2+BlueHerbCreamDesc,Ti cura moderatamente e cura il veleno.\n\nIl medico 0 guarisce 24.\nIl medico 1 guarisce 30.\nIl medico 2 guarisce 36.\nIl medico 3 guarisce 42.
Green+Red+BlueHerbCreamDesc,"Ti cura sostanzialmente e cura il veleno.\n\nIl medico 0 guarisce 36.\nIl medico 1 guarisce 45.\nIl medico 2 guarisce 54.\nIl medico 3 guarisce 63."
FirstAidSprayDesc,Ti cura completamente.\n\nIl medico 0 guarisce 120.\nIl medico 1 guarisce 150.\nIl medico 2 guarisce 180.\nIl medico 3 guarisce 210.
WolfBook,Un libro di colore blu su un lupo.
WolfMedal,Una medaglia di un lupo.\n\nUsa con l'azione secondaria.
EagleBook,Un libro di colore rosso su un'aquila.
EagleMedal,Una medaglia di un'aquila.\n\nUsa con l'azione secondaria.
Book of Curses,Libro delle maledizioni
BookOfCursesdesc,Un libro dall'aspetto inquietante che hai trovato per terra al 3° piano.
Dog Whistle,Fischietto per cani
DogWhistledesc,Un fischietto usato per attirare l'attenzione dei cani.
Dog Collar,Collare per cani
DogCollardesc,Questo collare ha una certa importanza?
Coin,Moneta
Coindesc,Una moneta che è stata trovata all'interno del collare di un cane.
Lighterdesc,Ne avrai bisogno per accendere le molotov.
EmptyBottledesc,Un contenitore utilizzato per miscelare sostanze chimiche.\n\nRiempi utilizzando l'azione secondaria.
FilledBottledesc,Una bottiglia piena di liquido
MixingBottledesc,Due tipi di liquidi che si mescolano.
VJoltdesc,Una potente sostanza chimica che può indebolire la pianta 42.
Crestdesc,Una cresta esagonale.\n\nUtilizzare con l'azione secondaria.
BrokenShotgundesc,Un fucile danneggiato irreparabilmente.\n\nUtilizzalo con l'azione secondaria.
Herbicidedesc,Una sostanza chimica usata per uccidere la vita vegetale.
MetalObjectdesc,Un oggetto ottagonale che sbloccherà la porta del cortile.\n\nUsa con l'azione secondaria.
StoneRingdesc,Anello in pietra di forma ottagonale
MetalObject2desc,Un oggetto ottagonale in metallo.
StoneMetalObjectdesc,Questo sbloccherà la porta dietro le scale della sala principale del palazzo.\n\nUsa con l'azione secondaria.
Cylinderdesc,Sembra che qualcosa appartenga all'interno del buco.
Shaftdesc,Sembra che manchi un anello di qualche tipo.
CylinderShaftdesc,Questo alimenterà il generatore nella miniera.\n\nUsa con l'azione secondaria.
FuelSupplyEmptydesc,Una capsula vuota progettata per alimentare una fonte di energia.\n\nRiempila con qualcosa di ghiacciato.
FuelSupplydesc,Usalo per rifornire di carburante la tapparella.
JewelryBoxdesc,"Ora è sbloccato, cosa c'è dentro?"
RedGemstonedesc,Questa piccola roccia varrebbe una fortuna...
LockedBoxdesc,Bloccato in modo sicuro
PrisonKey,Un floppy disk con sopra la parola 'MO'.\n\nInserisci usando l'azione secondaria.
REkeys,Usalo tenendo premuto il pulsante [Interagisci] mentre guardi una porta e selezionando [grimaldello].
Jill's_LockPick,LockPick di Jill
Sword Key,Chiave della spada
Armour Key,Chiave dell'armatura
Shield Key,Scudo Chiave
Helmet Key,Chiave del casco
Emblem Key,Chiave dell'emblema
Wolf Book,Libro del lupo
Wolf_Medal,Medaglia Lupo
Eagle Book,Libro dell'Aquila
Eagle_Medal,Medaglia dell'Aquila
Death Mask Without Eyes,Maschera mortuaria senza occhi
Death Mask Without Mouth,Maschera mortuaria senza bocca
Death Mask Without Nose,Maschera mortuaria senza naso
Death Mask Without All Three,Maschera della morte senza tutti e tre
Laboratory Key,Chiave per l'area Power
Prison Key,Disco MO
Empty_Bottle,Bottiglia vuota
Empty Water Bottle,Bottiglia d'acqua vuota
Empty UMB-No3 Bottle,Bottiglia vuota UMB-No3
Empty Yellow-6 Bottle,Bottiglia vuota Yellow-6
Water_(Filled),Acqua (riempita)
UMB-No3_(Filled),UMB-No3 (riempito)
Yellow-6_(Filled),Yellow-6 (riempito)
