Key,japanese
goDifficultyRE,[FF4F00]難易度(お読みください)[-]
goDifficultyREDesc,"C - 与ダメ 100%/受ダメ 100%\n\nB - 与ダメ 80%/受ダメ 150%\n\nA - 与ダメ 67%/受ダメ 200%\n\nS - 与ダメ 50%/受ダメ 250%\n\nX - 与ダメ 40%/受ダメ 350%\n[FF4F00](最初は低めの難易度をお選びください)[-]\n\nZ - 与ダメ 80%/受ダメ 700%\n[FF4F00](最初は低めの難易度をお選びください)[-]"
goDifficulty1RE,C
goDifficulty2RE,B
goDifficulty3RE,A
goDifficulty4RE,S
goDifficulty5RE,X
goDifficulty6RE,Z
goDayLengthRE,[FF4F00]選択 150[-]
goDayLengthREDesc,ゲーム内の24時間が現実時間の何分かを設定します。 このModでは、150を選択してください。
goDayLightLengthRE,[FF4F00]選択 0[-]
goDayLightLengthREDesc,ゲーム内の1日の内、何時間が日中扱いになるかを設定します。　このModでは、「0」を選択してください。
goBloodMoonFrequencyRE,[FF4F00]選択 0[-]
goBloodMoonFrequencyREDesc,大襲撃の発生頻度を設定します。 このModでは、「0」を選択してください。
goXPMultiplierRE,[FF4F00]選択 100[-]
goXPMultiplierREDesc,プレイヤーが受け取る経験値の量を増やします。　このModでは、100%をお選びください。
goBlockDamagePlayerRE,[FF4F00]選択 100[-]
goBlockDamagePlayerREDesc,プレイヤーによるブロックへのダメージを調整します。　このModでは、100%をお選びください。
goBlockDamageAIRE,[FF4F00]選択 100[-]
goBlockDamageAIREDesc,AIによるブロックへのダメージを調整します。　このModでは、100%をお選びください。
goLootAbundanceRE,[FF4F00]選択 100[-]
goLootAbundanceREDesc,コンテナおよびゾンビのドロップにより現れる略奪品の割合です。　このModでは、100%をお選びください。
goLootRespawnDaysRE,[FF4F00]選択 1[-]
goLootRespawnDaysREDesc,プレイヤーが周りにいない状況で、略奪品が再出現する日数です。　このModでは、「1」をお選びください。
goZombieMoveNight,[FF4F00]夜間のゾンビ移動速度\n(常時夜)[-]
goZombieMoveNightDesc,ゾンビの移動速度を設定します。　このModでは、お好みでお選びください。
tutorialTipQuest01_title,スペンサー邸チャレンジへようこそ
loadingTipRE1,あなたはスペンサー邸に閉じ込められてしまいました。\n弾薬や回復アイテムは限られています。\n無事生きて脱出できるのでしょうか？　それとも、ジル・サンドイッチになってしまうのでしょうか？
loadingTipRE1_title,バイオハザードへようこそ！
loadingTipRE2,"アイテムの品質、耐久、ランダムステータスなどは存在しません。\n略奪で入手出来るアイテムは、なるべく毎回同じになるようにしてあるため、略奪品の運にプレイ結果が左右される事はないはずです。"
loadingTipRE2_title,"アイテム品質、修理、ランダムステータス、略奪："
loadingTipRE3,本家と同じように、あなたが所持出来るアイテムは12スロットまでとなるため、入手するアイテムを厳選する必要があります。
loadingTipRE3_title,所持品：
loadingTipRE4,ゾンビとの戦闘を有利に進めるためには、ドアを活用しましょう。\nドアを閉めることで、後ろから襲われることを防ぎます。
loadingTipRE4_title,ドア：
loadingTipRE5,"動物の骨や皮は忘れず入手しましょう。\nジャイロコプターをクラフトする際に必要になります。"
loadingTipRE5_title,骨や皮：
loadingTipRE6,"本家と同じように、ゾンビは痛みを感じません。\n攻撃を受けても、痛みを感じる動作をまったくしません。"
loadingTipRE6_title,ゾンビは痛みを感じない：
loadingTipRE7,"次の方達に大きな感謝： Mythix, AuroraGiggleFairy, wOOkie nOOkie, RambunctiousRed, HellsJanitorTV, JaxTeller718, KhaineGB, Khelldon, Chikorina, HaidrGna, AvioseVeAvara, Subquake"
loadingTipRE7_title,スペシャルサンクス！
tutorialTipQuest01,"あなたはこれからスペンサー邸での出来事を一人称視点で体験する事になります。\n\n[FF4F00]チャレンジ中はずっと夜なため、　夜間のゾンビの移動速度を、自分の好みに合わせて設定する事をお勧めします。[-]\n\nバイオハザードらしいチャレンジにするために使用が変更されています。\n1) 所持品は12スロットのみになるので、館内のアイテムボックス(The Vault)をご利用ください。\nThe Vaultは館内の何カ所かに設置してありますが、中身は、館内のどこからアクセスしても同じ内容になります。\n2) ジャンプをする事は出来ません。\n3) ほとんどの敵は痛みを感じないため、いつもの戦い方では難しいかもしれません。\n\nより楽しいチャレンジになる用、ダイナミック音楽の設定は、100%にする事をお勧めします。\n\nこのModとは関連性のないモドレットの導入はせず、オレンジ色になっているゲーム設定を修正してください。"
buffNewbieCoatNameRE,減らない食料値と水分値
buffNewbieCoatDescRE,"このバフが付いている間は、食料値や水分値が全く減少しません。\n\nプレイヤーレベルが10になると、通常の60%のレートで、緩やかに減少し始めます。"
xuiInventory,ジル・バレンタインの所持品
cntCashRegister,タイプライター
cntHardenedChestInsecureT5,アイテムボックス
TheVault,The Vault
Reloading_Tool,リロードツール
Reloading_Tooldesc,弾薬をクラフトするために使用するツール。\n\n空きスロットがあることを確認してからクラフトしてください。
InkRibbon,インクリボン
